epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,band_32
0,0,0.9734399914741516,0.33906999230384827,2.915329933166504,0,3.060659885406494,0.9695799946784973,0.32923001050949097,134,252,386,503,638,755,881,1015,1141,1267,1393,1519,1636,1762,1896,2014,2140,2266,2392,2526,2643,2769,2895,3021,3155,3273,3407,3533,3659,3776,3910,4036
10,0.29079,1.1875499486923218,0.4136500060558319,2.389709949493408,0.28036,2.5173399448394775,1.1788400411605835,0.40029001235961914,176,258,427,461,629,719,839,1054,1178,1306,1432,1549,1623,1722,1894,2009,2113,2232,2369,2540,2601,2747,2878,2985,3185,3234,3444,3558,3692,3749,3897,4067
20,0.38874,1.2791600227355957,0.4455600082874298,2.218559980392456,0.38343,2.3301000595092773,1.273569941520691,0.4324600100517273,221,299,469,432,590,698,795,1077,1209,1299,1438,1536,1613,1689,1866,2032,2111,2203,2384,2579,2557,2717,2865,2957,3203,3216,3477,3555,3713,3753,3878,4075
30,0.47027,1.374079942703247,0.4786199927330017,2.065310001373291,0.47341,2.153369903564453,1.3780900239944458,0.4679499864578247,256,342,505,439,557,698,752,1086,1194,1272,1401,1509,1633,1701,1887,2056,2144,2179,2382,2615,2517,2687,2833,2961,3226,3210,3464,3549,3740,3772,3836,4097
40,0.54648,1.4850499629974365,0.517270028591156,1.9109899997711182,0.55445,1.9807599782943726,1.4981900453567505,0.5087299942970276,265,381,524,467,559,714,705,1069,1147,1254,1359,1491,1642,1702,1907,2084,2158,2213,2364,2640,2473,2642,2792,2959,3269,3234,3441,3533,3758,3779,3842,4151
50,0.60993,1.601289987564087,0.5577700138092041,1.7722599506378174,0.62265,1.8228600025177002,1.627959966659546,0.5527899861335754,265,399,539,466,580,740,667,1062,1101,1229,1321,1475,1637,1682,1920,2111,2175,2263,2373,2685,2451,2657,2776,2958,3327,3289,3438,3505,3736,3782,3841,4194
60,0.66287,1.7224199771881104,0.5999600291252136,1.647629976272583,0.6749,1.6919599771499634,1.753909945487976,0.5955600142478943,283,400,550,453,594,759,669,1057,1070,1203,1290,1448,1630,1676,1965,2147,2208,2301,2387,2685,2457,2650,2777,2959,3380,3346,3461,3488,3727,3786,3848,4196
70,0.70435,1.8393000364303589,0.6406700015068054,1.542930006980896,0.71453,1.5855000019073486,1.8716800212860107,0.6355500221252441,309,399,561,467,614,748,687,1027,1062,1189,1264,1435,1639,1700,1970,2168,2179,2316,2356,2658,2497,2644,2778,2959,3419,3393,3454,3479,3719,3767,3856,4178
80,0.74016,1.961940050125122,0.6833900213241577,1.4464800357818604,0.74899,1.4867299795150757,1.996019959449768,0.6777700185775757,337,397,574,490,615,735,687,1026,1065,1181,1251,1434,1630,1699,1974,2161,2156,2296,2357,2662,2491,2615,2776,2960,3439,3425,3472,3461,3715,3748,3878,4182
90,0.77167,2.092940092086792,0.7290199995040894,1.3559399843215942,0.77849,1.396630048751831,2.1247899532318115,0.7214999794960022,349,399,575,503,620,739,687,1016,1054,1170,1249,1438,1630,1697,1974,2146,2152,2292,2339,2658,2493,2592,2803,2961,3447,3487,3443,3702,3723,3875,4179
100,0.79298,2.1980600357055664,0.7656300067901611,1.291100025177002,0.79902,1.3303200006484985,2.2307000160217285,0.7574599981307983,353,404,570,506,627,748,685,1007,1040,1180,1253,1445,1627,1712,1975,2148,2150,2305,2349,2658,2490,2567,2798,2961,3445,3467,3491,3422,3691,3721,3868,4174
