epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8
0,0,0.9236000180244446,0.32868000864982605,3.112370014190674,0,3.198230028152466,0.9242100119590759,0.3102799952030182,470,923,1385,1855,2316,2769,3239,3701
10,0,0.9884499907493591,0.35175999999046326,2.9081599712371826,0,2.9917800426483154,0.9879900217056274,0.3316900134086609,512,880,1343,1896,2352,2730,3282,3743
20,0.07916,1.0421899557113647,0.3708899915218353,2.7582099437713623,0.07814,2.8379199504852295,1.0415500402450562,0.3496699929237366,552,837,1309,1925,2374,2702,3324,3778
30,0.14433,1.0811500549316406,0.38475000858306885,2.6588099002838135,0.14481,2.733370065689087,1.0813900232315063,0.36305001378059387,583,798,1282,1945,2385,2668,3362,3792
40,0.191,1.111899971961975,0.39570000767707825,2.58528995513916,0.19266,2.6558001041412354,1.1129800081253052,0.3736500144004822,595,765,1265,1978,2383,2648,3395,3789
50,0.23508,1.143489956855774,0.4069400131702423,2.5138700008392334,0.2375,2.5810000896453857,1.1452300548553467,0.38447999954223633,580,746,1260,2027,2369,2665,3425,3777
60,0.2754,1.1748700141906738,0.4181100130081177,2.4467198848724365,0.27933,2.5092101097106934,1.1779999732971191,0.3954800069332123,550,745,1261,2012,2340,2658,3456,3753
70,0.31198,1.2057000398635864,0.4290800094604492,2.384160041809082,0.31598,2.4445700645446777,1.209149956703186,0.4059399962425232,517,760,1270,2022,2296,2662,3484,3729
80,0.34411,1.234879970550537,0.43946000933647156,2.327820062637329,0.34809,2.386509895324707,1.2385599613189697,0.4158099889755249,497,760,1284,2019,2240,2662,3487,3714
90,0.37167,1.2616699934005737,0.4490000009536743,2.2783899307250977,0.37596,2.334929943084717,1.2659200429916382,0.42500001192092896,502,749,1294,2019,2181,2667,3486,3701
100,0.39895,1.289989948272705,0.45906999707221985,2.228369951248169,0.40279,2.284179925918579,1.2940499782562256,0.4344399869441986,527,764,1293,2021,2131,2679,3487,3688
