algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,execution_time,fold,selected_bands
bsdrcnn,lucas,8,robust,dyn,0.05,0.8197457194328308,1.2486803531646729,2.3554162979125977,0.8039138317108154,0.8852917551994324,0.958113431930542,2.9539434909820557,1.0037286281585693,29.031328678131104,0,651|867|1395|1799|2018|2715|3457|3645
bsdrcnn,lucas,8,robust,dyn,0.15,0.8335471749305725,1.1991249322891235,2.4511287212371826,0.8403317928314209,0.8573163747787476,1.1012780666351318,2.6477644443511963,0.8767243027687073,5.935405492782593,0,645|846|1395|1804|2024|2816|3461|3692
bsdrcnn,lucas,8,robust,dyn,0.25,0.8398868441581726,1.1781198978424072,2.4991931915283203,0.8683229684829712,0.8648934960365295,1.0693296194076538,2.720832109451294,0.8885862231254578,9.802015781402588,0,647|866|1508|1835|2022|2807|3454|3709
bsdrcnn,lucas,8,robust,dyn,0.35,0.8341367244720459,1.189395785331726,2.4555015563964844,0.85364830493927,0.8571082949638367,1.1202528476715088,2.6456053256988525,0.8687146306037903,13.16320276260376,0,622|792|1399|1798|2023|2815|3458|3659
bsdrcnn,lucas,8,robust,dyn,0.45,0.8399949073791504,1.1856755018234253,2.5000646114349365,0.8434010744094849,0.8473812937736511,1.1330392360687256,2.5598721504211426,0.8893449902534485,16.985971689224243,0,633|805|1396|1797|2022|2794|3438|3666
bsdrcnn,lucas,8,robust,dyn,0.55,0.8536574840545654,1.1177263259887695,2.6141884326934814,0.8946734070777893,0.8449761867523193,1.160270094871521,2.5399131774902344,0.865170419216156,20.614231824874878,0,662|848|1504|1837|2024|2794|3451|3718
bsdrcnn,lucas,8,robust,dyn,0.65,0.8514523506164551,1.1510436534881592,2.59475040435791,0.8654481768608093,0.8439676761627197,1.1486284732818604,2.531675338745117,0.8739391565322876,24.481689929962158,0,650|817|1396|1791|2022|2783|3451|3671
bsdrcnn,lucas,8,robust,dyn,0.75,0.8397710919380188,1.1854721307754517,2.498443126678467,0.8338498473167419,0.8571336269378662,1.1063040494918823,2.6457467079162598,0.9108371138572693,28.5066180229187,0,659|848|1503|1835|2024|2787|3451|3713
bsdrcnn,lucas,8,robust,dyn,0.85,0.8537911772727966,1.1576396226882935,2.615649938583374,0.9200912117958069,0.8447460532188416,1.1501625776290894,2.5379927158355713,0.8594486713409424,32.47917675971985,0,653|831|1398|1789|2023|2791|3451|3666
bsdrcnn,lucas,8,robust,dyn,0.95,0.835354745388031,1.3905166387557983,2.465611696243286,0.7535995244979858,0.8453659415245056,1.143121600151062,2.5430679321289062,0.8714458346366882,35.14851260185242,0,645|824|1397|1791|2022|2791|3452|3661
bsdrcnn,lucas,16,robust,dyn,0.05,0.7731701135635376,1.401840090751648,2.099714994430542,0.7133481502532959,0.9588527083396912,0.5646116137504578,4.932066917419434,1.818630576133728,8.049209594726562,0,284|555|700|948|1212|1408|1704|2028|2135|2289|2649|2922|3462|3478|3679|3907
bsdrcnn,lucas,16,robust,dyn,0.15,0.8343374133110046,1.1877636909484863,2.456968069076538,0.8419182896614075,0.9155312180519104,0.8812035918235779,3.4412665367126465,1.1282895803451538,20.661932706832886,0,262|527|706|953|1204|1406|1707|2005|2202|2434|2651|2922|3203|3435|3674|3909
