epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16
0,0,0.9492200016975403,0.3333599865436554,2.919339895248413,0,3.150320053100586,0.9485800266265869,0.3210799992084503,244,497,733,977,1230,1466,1710,1963,2207,2443,2688,2940,3176,3429,3665,3909
10,0.22848,1.1385799646377563,0.3998599946498871,2.4338200092315674,0.22658,2.6279900074005127,1.137120008468628,0.38488999009132385,241,523,708,938,1266,1451,1698,1957,2246,2402,2650,2909,3166,3466,3627,3915
20,0.3518,1.2421900033950806,0.43623998761177063,2.230829954147339,0.3586,2.393199920654297,1.2486799955368042,0.422650009393692,280,522,663,918,1261,1486,1697,1987,2256,2359,2661,2896,3201,3495,3629,3905
30,0.45435,1.3538899421691895,0.47547000646591187,2.0467700958251953,0.45446,2.2071399688720703,1.3539400100708008,0.4582799971103668,327,525,620,938,1224,1493,1702,1994,2231,2326,2655,2895,3228,3505,3664,3910
40,0.52465,1.4505599737167358,0.5094199776649475,1.9103800058364868,0.5298,2.0490798950195312,1.4583799839019775,0.49362999200820923,379,509,613,940,1185,1462,1701,1973,2183,2316,2659,2897,3243,3499,3681,3913
50,0.57758,1.5387500524520874,0.5403900146484375,1.8008899688720703,0.58639,1.921820044517517,1.5549499988555908,0.5263199806213379,421,498,632,925,1160,1421,1697,1986,2146,2319,2656,2900,3254,3501,3686,3913
60,0.62026,1.6229100227355957,0.5699499845504761,1.7074899673461914,0.62987,1.8179899454116821,1.6437599658966064,0.5563799738883972,438,521,643,938,1146,1382,1692,1982,2150,2313,2657,2901,3267,3502,3688,3911
70,0.65057,1.6918400526046753,0.5941500067710876,1.6379300355911255,0.66311,1.7344499826431274,1.7229299545288086,0.5831800103187561,449,535,658,943,1144,1363,1697,1985,2156,2313,2656,2903,3288,3498,3690,3910
80,0.67922,1.765779972076416,0.6201199889183044,1.5693399906158447,0.69406,1.6528500318527222,1.8079899549484253,0.6119700074195862,464,547,668,937,1145,1358,1694,1989,2150,2316,2656,2905,3322,3492,3696,3909
90,0.70703,1.8476799726486206,0.6488800048828125,1.4997800588607788,0.7246,1.5681999921798706,1.9055900573730469,0.6450099945068359,480,557,675,936,1142,1357,1686,1991,2148,2303,2655,2906,3367,3488,3704,3909
100,0.73672,1.9490699768066406,0.6844900250434875,1.4217599630355835,0.75677,1.4737399816513062,2.0277199745178223,0.6863499879837036,493,567,678,929,1151,1354,1675,1995,2141,2304,2656,2924,3419,3486,3709,3909
110,0.76456,2.0611000061035156,0.723829984664917,1.344480037689209,0.78512,1.3852200508117676,2.1572999954223633,0.73021000623703,504,574,682,931,1156,1351,1640,2001,2141,2306,2653,2925,3466,3493,3715,3909
120,0.78236,2.143739938735962,0.7528600096702576,1.2926499843597412,0.80257,1.32778000831604,2.250619888305664,0.7617899775505066,509,579,686,931,1159,1349,1637,2005,2140,2309,2654,2924,3476,3490,3718,3909
130,0.79418,2.204430103302002,0.7741699814796448,1.2570699453353882,0.81411,1.288390040397644,2.319430112838745,0.7850800156593323,511,581,686,925,1163,1350,1654,2006,2141,2308,2655,2924,3463,3472,3717,3910
140,0.80374,2.2574799060821533,0.7928000092506409,1.2275199890136719,0.82254,1.258810043334961,2.373929977416992,0.8035299777984619,510,583,686,919,1166,1351,1663,2007,2140,2306,2656,2924,3462,3713,3910
150,0.81028,2.296070098876953,0.8063499927520752,1.2068899869918823,0.82872,1.2367299795150757,2.416330099105835,0.8178799748420715,509,583,687,919,1166,1348,1674,2009,2143,2308,2654,2924,3462,3464,3709,3911
160,0.81468,2.3231699466705322,0.8158699870109558,1.1928199529647827,0.83342,1.2196199893951416,2.4502298831939697,0.8293499946594238,508,584,688,916,1165,1345,1672,2009,2147,2307,2654,2924,3461,3464,3706,3911
170,0.82078,2.362339973449707,0.8296300172805786,1.1730300188064575,0.83753,1.2044999599456787,2.4809799194335938,0.8397700190544128,509,583,688,916,1167,1341,1672,2011,2149,2306,2654,2923,3462,3464,3704,3911
180,0.82515,2.3916900157928467,0.83992999792099,1.1586400270462036,0.84142,1.190000057220459,2.5112099647521973,0.8500000238418579,508,583,688,914,1167,1337,1671,2012,2149,2303,2654,2922,3462,3702,3911
190,0.82708,2.404979944229126,0.8446000218391418,1.1522400379180908,0.84396,1.1804100275039673,2.5316200256347656,0.8568999767303467,508,583,687,914,1170,1333,1670,2013,2148,2301,2653,2923,3462,3699,3911
200,0.832,2.4399800300598145,0.8568900227546692,1.1357100009918213,0.84686,1.1693799495697021,2.555490016937256,0.8649799823760986,508,583,688,914,1172,1331,1672,2015,2147,2297,2653,2923,3462,3696,3911
