epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,band_32
0,0,0.967739999294281,0.32686999440193176,3.141319990158081,0,2.9925599098205566,0.9690600037574768,0.33160001039505005,130,256,382,507,634,759,885,1012,1138,1264,1390,1516,1640,1767,1893,2017,2143,2269,2395,2523,2647,2772,2898,3024,3152,3276,3403,3529,3655,3780,3907,4032
10,0.27187,1.1720199584960938,0.3958800137042999,2.593790054321289,0.26247,2.4903900623321533,1.1644599437713623,0.398470014333725,131,256,385,503,635,754,878,1019,1146,1272,1398,1525,1637,1758,1893,2015,2141,2261,2389,2523,2637,2764,2895,3020,3158,3270,3409,3533,3659,3777,3908,4031
20,0.36792,1.2579200267791748,0.42489001154899597,2.416670083999634,0.3529,2.332740068435669,1.2431600093841553,0.4253999888896942,133,259,389,499,630,753,871,1025,1155,1267,1404,1533,1627,1747,1883,2024,2150,2257,2395,2530,2627,2757,2898,3025,3161,3267,3416,3533,3662,3776,3906,4029
30,0.44544,1.3429700136184692,0.45361998677253723,2.263629913330078,0.42734,2.194459915161133,1.3214999437332153,0.4521999955177307,134,261,394,495,624,756,866,1032,1164,1260,1404,1529,1621,1738,1874,2026,2150,2252,2403,2542,2618,2748,2907,3033,3168,3271,3422,3532,3662,3775,3903,4027
40,0.51415,1.434790015220642,0.4846299886703491,2.118769884109497,0.49597,2.058769941329956,1.4085899591445923,0.48201000690460205,135,263,398,491,617,761,861,1040,1170,1257,1399,1520,1618,1732,1877,2025,2144,2245,2413,2554,2616,2736,2918,3042,3177,3279,3429,3529,3660,3775,3900,4025
50,0.57649,1.5367599725723267,0.519070029258728,1.9781800508499146,0.55487,1.9347399473190308,1.4988900423049927,0.512910008430481,136,265,403,488,611,769,855,1045,1172,1260,1395,1518,1609,1726,1888,2024,2146,2235,2424,2566,2623,2730,2927,3050,3187,3288,3438,3528,3658,3773,3896,4022
60,0.62727,1.6381100416183472,0.553309977054596,1.8557900190353394,0.60411,1.8245999813079834,1.5893700122833252,0.5438699722290039,135,267,406,487,606,777,849,1044,1167,1260,1393,1521,1608,1716,1900,2025,2154,2232,2436,2579,2636,2734,2922,3057,3195,3297,3447,3527,3656,3769,3892,4020
70,0.67017,1.741379976272583,0.5881900191307068,1.7457300424575806,0.64864,1.7189300060272217,1.6870800256729126,0.5773000121116638,135,269,409,489,602,785,844,1040,1160,1257,1392,1522,1619,1706,1912,2024,2157,2239,2446,2593,2650,2742,2920,3062,3200,3306,3456,3528,3654,3764,3889,4018
80,0.71052,1.8588000535964966,0.6278499960899353,1.635450005531311,0.69066,1.6128599643707275,1.7980300188064575,0.6152700185775757,134,272,410,492,599,792,838,1036,1153,1255,1391,1527,1622,1700,1921,2022,2157,2246,2453,2608,2657,2745,2920,3066,3203,3315,3464,3528,3651,3759,3887,4016
90,0.74558,1.9827200174331665,0.6697099804878235,1.5332399606704712,0.7283,1.511549949645996,1.9185400009155273,0.656499981880188,134,273,411,496,598,797,834,1033,1145,1250,1390,1530,1619,1701,1930,2024,2153,2245,2452,2624,2649,2744,2921,3068,3204,3325,3470,3530,3648,3755,3885,4014
100,0.77761,2.120699882507324,0.7163100242614746,1.4334800243377686,0.76233,1.4137200117111206,2.0513100624084473,0.7019400000572205,135,274,411,499,599,800,830,1028,1140,1243,1390,1534,1621,1704,1938,2024,2147,2245,2445,2637,2642,2746,2920,3068,3209,3334,3474,3533,3646,3752,3884,4014
